,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NBA 2K League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Season 1 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
,,Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
,,Grizz Gaming,Ayethreat,Mid-Season Tournament 1,1 ,3 ,1 ,1 ,1.0 ,1 ,– ,– ,– ,– ,4 ,1 ,25% ,38% ,– ,– ,-,4 ,1 ,25% ,– ,– ,-,– ,3 ,,3.0 ,1.0 ,1.0 ,1.0 ,1.0 ,– ,– ,– ,– ,4.0 ,1.0 ,25% ,38% ,– ,– ,-,4.0 ,1.0 ,25% ,– ,– ,-,– ,3.0 
,,Mavs Gaming,BallLikeSeem,Tip Off,5 ,58 ,6 ,7 ,0.9 ,5 ,– ,– ,– ,– ,31 ,24 ,77% ,89% ,20 ,17 ,85% ,11 ,7 ,64% ,3 ,3 ,100% ,2 ,2 ,,11.6 ,1.2 ,1.4 ,0.9 ,1.0 ,– ,– ,– ,– ,6.2 ,4.8 ,77% ,89% ,4.0 ,3.4 ,85% ,2.2 ,1.4 ,64% ,0.6 ,0.6 ,100% ,0.4 ,0.4 
,,Mavs Gaming,BallLikeSeem,Regular Season,14 ,196 ,24 ,13 ,1.9 ,10 ,– ,8 ,2 ,6 ,126 ,75 ,60% ,69% ,82 ,51 ,62% ,44 ,24 ,55% ,25 ,22 ,88% ,15 ,6 ,,14.0 ,1.7 ,0.9 ,1.9 ,0.7 ,– ,0.6 ,0.1 ,0.4 ,9.0 ,5.4 ,60% ,69% ,5.9 ,3.6 ,62% ,3.1 ,1.7 ,55% ,1.8 ,1.6 ,88% ,1.1 ,0.4 
,,Mavs Gaming,BallLikeSeem,Mid-Season Tournament 2,2 ,14 ,2 ,– ,– ,3 ,– ,1 ,– ,1 ,9 ,4 ,44% ,56% ,4 ,2 ,50% ,5 ,2 ,40% ,4 ,4 ,100% ,4 ,– ,,7.0 ,1.0 ,– ,– ,1.5 ,– ,0.5 ,– ,0.5 ,4.5 ,2.0 ,44% ,56% ,2.0 ,1.0 ,50% ,2.5 ,1.0 ,40% ,2.0 ,2.0 ,100% ,2.0 ,– 
,,Mavs Gaming,BallLikeSeem,Mid-Season Tournament 1,2 ,31 ,5 ,4 ,1.3 ,3 ,– ,3 ,2 ,1 ,19 ,13 ,68% ,82% ,12 ,8 ,67% ,7 ,5 ,71% ,– ,– ,-,3 ,– ,,15.5 ,2.5 ,2.0 ,1.3 ,1.5 ,– ,1.5 ,1.0 ,0.5 ,9.5 ,6.5 ,68% ,82% ,6.0 ,4.0 ,67% ,3.5 ,2.5 ,71% ,– ,– ,-,1.5 ,– 
,,Bucks Gaming,Bigmeek,Regular Season,14 ,207 ,30 ,20 ,1.5 ,19 ,11 ,98 ,19 ,79 ,145 ,85 ,59% ,65% ,109 ,67 ,62% ,36 ,18 ,50% ,20 ,19 ,95% ,17 ,28 ,,14.8 ,2.1 ,1.4 ,1.5 ,1.4 ,0.8 ,7.0 ,1.4 ,5.6 ,10.4 ,6.1 ,59% ,65% ,7.8 ,4.8 ,62% ,2.6 ,1.3 ,50% ,1.4 ,1.4 ,95% ,1.2 ,2.0 
,,Bucks Gaming,Bigmeek,Mid-Season Tournament 2,2 ,17 ,3 ,1 ,3.0 ,4 ,2 ,7 ,1 ,6 ,9 ,7 ,78% ,89% ,5 ,5 ,100% ,4 ,2 ,50% ,2 ,1 ,50% ,1 ,4 ,,8.5 ,1.5 ,0.5 ,3.0 ,2.0 ,1.0 ,3.5 ,0.5 ,3.0 ,4.5 ,3.5 ,78% ,89% ,2.5 ,2.5 ,100% ,2.0 ,1.0 ,50% ,1.0 ,0.5 ,50% ,0.5 ,2.0 
,,Bucks Gaming,Bigmeek,Mid-Season Tournament 1,1 ,8 ,– ,2 ,– ,– ,– ,4 ,– ,4 ,6 ,3 ,50% ,67% ,1 ,1 ,100% ,5 ,2 ,40% ,– ,– ,-,– ,– ,,8.0 ,– ,2.0 ,– ,– ,– ,4.0 ,– ,4.0 ,6.0 ,3.0 ,50% ,67% ,1.0 ,1.0 ,100% ,5.0 ,2.0 ,40% ,– ,– ,-,– ,– 
,,Wizards District Gaming,BooPainter,Tip Off,3 ,68 ,14 ,5 ,2.8 ,6 ,4 ,24 ,7 ,17 ,45 ,29 ,64% ,66% ,42 ,28 ,67% ,3 ,1 ,33% ,9 ,9 ,100% ,13 ,11 ,,22.7 ,4.7 ,1.7 ,2.8 ,2.0 ,1.3 ,8.0 ,2.3 ,5.7 ,15.0 ,9.7 ,64% ,66% ,14.0 ,9.3 ,67% ,1.0 ,0.3 ,33% ,3.0 ,3.0 ,100% ,4.3 ,3.7 
,,Wizards District Gaming,BooPainter,Regular Season,14 ,464 ,70 ,43 ,1.6 ,18 ,23 ,107 ,38 ,69 ,304 ,212 ,70% ,70% ,304 ,212 ,70% ,– ,– ,-,53 ,40 ,76% ,63 ,49 ,,33.1 ,5.0 ,3.1 ,1.6 ,1.3 ,1.6 ,7.6 ,2.7 ,4.9 ,21.7 ,15.1 ,70% ,70% ,21.7 ,15.1 ,70% ,– ,– ,-,3.8 ,2.9 ,76% ,4.5 ,3.5 
